metric,baseline,geometric,improvement_percent
mean_3d_error_m,0.5426952305002033,0.45544584906427993,16.07704960950282
rms_3d_error_m,0.6265869458322769,0.6021618947611944,3.8981104272192315
max_3d_error_m,1.81618,2.81645,-55.075488112411776
mean_lateral_swing_m,0.5645704308943089,0.5274991339786871,6.566283830504366
max_lateral_swing_m,0.722012,0.826998,-14.540755555309335
mean_cable_angle_deg,34.585264629512196,32.0457667088587,7.3427164656895485
max_cable_angle_deg,46.100362,55.621562,-20.653200076823694
